# Copyright (c) 2026 GiantAccel, LLC
# XStats modifications Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later AND MIT
暂无数据	暫無資料
主应用缓存	主應用程式快取
今日消耗的 Token	今日消耗的 Token
查看今天 Codex 和 Claude 的 Token 用量	查看今天 Codex 和 Claude 的 Token 用量
分	分
查看 Codex 和 Claude 的剩余额度与重置时间	查看 Codex 和 Claude 的剩餘額度與重置時間
显示主应用已查询的公网 IP 纯净度	顯示主應用程式已查詢的公網 IP 純淨度
显示主应用已查询的公网 IPv4 和 IPv6	顯示主應用程式已查詢的公網 IPv4 和 IPv6
查看公网 IP、归属地、ASN 和标记	查看公網 IP、歸屬地、ASN 和標記
查看今天的日期或本月月历。	查看今天的日期或本月月曆。
设备不支持	裝置不支援
需要 macOS 15.1 或更新版本	需要 macOS 15.1 或更新版本
支持	支援
无法检测	無法判斷
仅显示本机模型当前是否可用；设备兼容不代表当前可用。	此處顯示本機模型目前是否可用；裝置相容不代表目前可用。
 {} 英寸	 {} 英吋
 · {} 项使用中	 · {} 項使用中
 · 移到废纸篓	 · 移到廢紙簍
# XStats 诊断信息	# XStats 診斷信息
1 个传感器	1 個傳感器
1 个应用，系统自带的不列出	1 個應用，系統自帶的不列出
1 个进程	1 個進程
1 分钟	1 分鐘
1 小时	1 小時
1 项	1 項
10 根柱子是最近 10 次采样（约 20 秒）的变化	10 根柱子是最近 10 次採樣（約 20 秒）的變化
15 分钟	15 分鐘
2 小时	2 小時
24 小时	24 小時
5 分钟	5 分鐘
5 小时	5 小時
60 秒峰值	60 秒峰值
7 天	7 天
Apple 智能暂时不可用。	Apple 智能暫時不可用。
Apple 智能模型还在下载或准备中，请稍后再试。	Apple 智能模型還在下載或準備中，請稍後再試。
Apple 智能没有给出回答：{}	Apple 智能沒有給出回答：{}
Apple 智能解释	Apple 智能解釋
Apple（系统自带）	Apple（系統自帶）
Application Support 中只允许清理缓存目录	Application Support 中只允許清理緩存目錄
CPU 占用 {}，已持续超过 1 分钟。可以打开 CPU 详情，在“按应用汇总”里看看是哪个应用在占用。	CPU 佔用 {}，已持續超過 1 分鐘。可以打開 CPU 詳情，在“按應用匯總”里看看是哪個應用在佔用。
CPU 总占用持续 1 分钟高于设定值，通常是某个应用卡住或在后台狂跑	CPU 總佔用持續 1 分鐘高於設定值，通常是某個應用卡住或在後台狂跑
CPU 持续高负载	CPU 持續高負載
CPU 时间	CPU 時間
CPU 时间 {}	CPU 時間 {}
CPU 最高	CPU 最高
CPU 核心最高温度	CPU 核心最高溫度
CPU 温度	CPU 溫度
