# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
 {} 英寸	 {} بوصة
 · {} 项使用中	 · {} قيد الاستخدام
 · 移到废纸篓	 · يُنقل إلى سلة المهملات
# XStats 诊断信息	# تشخيص XStats
1 个传感器	مستشعر واحد
1 个应用，系统自带的不列出	تطبيق واحد؛ لا تُعرض تطبيقات النظام
1 个进程	عملية واحدة
1 分钟	دقيقة واحدة
1 小时	ساعة واحدة
1 项	عنصر واحد
10 根柱子是最近 10 次采样（约 20 秒）的变化	تعرض الأعمدة العشرة آخر 10 عينات (نحو 20 ثانية)
15 分钟	15 دقيقة
2 小时	ساعتان
24 小时	24 ساعة
5 分钟	5 دقائق
5 小时	5 ساعات
60 秒峰值	الذروة
7 天	7 أيام
Apple 智能暂时不可用。	Apple Intelligence غير متاح مؤقتًا.
Apple 智能模型还在下载或准备中，请稍后再试。	لا يزال نموذج Apple Intelligence قيد التنزيل أو الإعداد. حاول لاحقًا.
Apple 智能没有给出回答：{}	لم يُجب Apple Intelligence: {}
Apple 智能解释	Apple Intelligence
Apple（系统自带）	Apple (مدمج)
Application Support 中只允许清理缓存目录	لا يمكن تنظيف سوى مجلدات التخزين المؤقت داخل Application Support
CPU 占用 {}，已持续超过 1 分钟。可以打开 CPU 详情，在“按应用汇总”里看看是哪个应用在占用。	بلغ استخدام CPU {} لأكثر من دقيقة. افتح تفاصيل CPU وراجع «حسب التطبيق» لمعرفة التطبيق المشغول.
CPU 总占用持续 1 分钟高于设定值，通常是某个应用卡住或在后台狂跑	يتجاوز استخدام CPU الإجمالي الحد المحدد لدقيقة؛ عادةً بسبب تطبيق متوقف أو نشط جدًا في الخلفية
CPU 持续高负载	حمل CPU مرتفع مستمر
CPU 时间	وقت CPU
CPU 时间 {}	وقت CPU {}
CPU 最高	أعلى CPU
CPU 核心最高温度	أعلى حرارة لنواة CPU
CPU 温度	حرارة CPU
CPU 温度 {}	حرارة CPU {}
CPU 温度 {}，已持续超过 1 分钟。可以检查高占用进程，或在“温度与风扇”里提高风扇转速。	بلغت حرارة CPU {} لأكثر من دقيقة. راجع العمليات المشغولة أو ارفع سرعة المروحة في «الحرارة والمراوح».
CPU 温度偏高	حرارة CPU مرتفعة
CPU 温度持续 1 分钟高于设定值	تتجاوز حرارة CPU الحد المحدد لدقيقة
CPU 温度达到 {}，已恢复系统自动控制	بلغت حرارة CPU {}؛ عادت المراوح إلى تحكم النظام
