# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
暂无数据	Aucune donnée pour le moment
主应用缓存	Cache de XStats
今日消耗的 Token	Tokens consommés aujourd’hui
查看今天 Codex 和 Claude 的 Token 用量	Afficher les tokens utilisés aujourd’hui par Codex et Claude
分	points
查看 Codex 和 Claude 的剩余额度与重置时间	Afficher les quotas restants de Codex et Claude et leur réinitialisation
显示主应用已查询的公网 IP 纯净度	Afficher la réputation IP consultée par XStats
显示主应用已查询的公网 IPv4 和 IPv6	Afficher les adresses IPv4 et IPv6 publiques consultées par XStats
查看公网 IP、归属地、ASN 和标记	Voir l’IP publique, la localisation, l’ASN et les indicateurs
查看今天的日期或本月月历。	Afficher la date du jour ou le calendrier du mois.
设备不支持	Appareil non compatible
需要 macOS 15.1 或更新版本	Nécessite macOS 15.1 ou une version ultérieure
支持	Compatible
无法检测	Impossible à déterminer
仅显示本机模型当前是否可用；设备兼容不代表当前可用。	Indique si le modèle local est actuellement disponible. Un appareil compatible ne garantit pas sa disponibilité immédiate.
 {} 英寸	 {} pouces
 · {} 项使用中	 · {} utilisés
 · 移到废纸篓	 · Déplacement vers la Corbeille
# XStats 诊断信息	# Diagnostic XStats
1 个传感器	1 capteur
1 个应用，系统自带的不列出	1 app ; les apps intégrées ne sont pas affichées
1 个进程	1 processus
1 分钟	1 min
1 小时	1 heure
1 项	1 élément
10 根柱子是最近 10 次采样（约 20 秒）的变化	10 barres représentent les 10 derniers relevés (environ 20 secondes)
15 分钟	15 min
2 小时	2 heures
24 小时	24 heures
5 分钟	5 min
5 小时	5 heures
60 秒峰值	Pic
7 天	7 jours
Apple 智能暂时不可用。	Apple Intelligence est temporairement indisponible.
Apple 智能模型还在下载或准备中，请稍后再试。	Le modèle Apple Intelligence est encore en cours de téléchargement ou de préparation. Réessayez plus tard.
Apple 智能没有给出回答：{}	Apple Intelligence n’a pas répondu : {}
Apple 智能解释	Apple Intelligence
Apple（系统自带）	Apple (intégré)
Application Support 中只允许清理缓存目录	Seuls les dossiers de cache dans Application Support peuvent être nettoyés
CPU 占用 {}，已持续超过 1 分钟。可以打开 CPU 详情，在“按应用汇总”里看看是哪个应用在占用。	L’utilisation du CPU est de {} depuis plus d’une minute. Ouvrez les détails du CPU et consultez « Par app » pour identifier l’app concernée.
CPU 总占用持续 1 分钟高于设定值，通常是某个应用卡住或在后台狂跑	L’utilisation totale du CPU dépasse le seuil pendant 1 minute, généralement à cause d’une app bloquée ou très active en arrière-plan
CPU 持续高负载	Charge CPU élevée prolongée
CPU 时间	Temps CPU
CPU 时间 {}	Temps CPU {}
CPU 最高	CPU maximal
CPU 核心最高温度	Cœur CPU le plus chaud
CPU 温度	Température du CPU
CPU 温度 {}	Température du CPU {}
CPU 温度 {}，已持续超过 1 分钟。可以检查高占用进程，或在“温度与风扇”里提高风扇转速。	La température du CPU est de {} depuis plus d’une minute. Vérifiez les processus actifs ou augmentez la vitesse des ventilateurs dans « Température et ventilateurs ».
CPU 温度偏高	CPU chaud
CPU 温度持续 1 分钟高于设定值	La température du CPU dépasse le seuil pendant 1 minute
