# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
设备不支持	Dispositivo no compatible
需要 macOS 15.1 或更新版本	Requiere macOS 15.1 o posterior
支持	Compatible
无法检测	No se puede determinar
仅显示本机模型当前是否可用；设备兼容不代表当前可用。	Muestra si el modelo local está disponible ahora. Que el dispositivo sea compatible no garantiza su disponibilidad actual.
 {} 英寸	 {} pulgadas
 · {} 项使用中	 · {} en uso
 · 移到废纸篓	 · Se mueve a la Papelera
# XStats 诊断信息	# Diagnóstico de XStats
1 个传感器	1 sensor
1 个应用，系统自带的不列出	1 app; no se muestran las del sistema
1 个进程	1 proceso
1 分钟	1 min
1 小时	1 hora
1 项	1 elemento
10 根柱子是最近 10 次采样（约 20 秒）的变化	Las 10 barras muestran las últimas 10 muestras (unos 20 segundos)
15 分钟	15 min
2 小时	2 horas
24 小时	24 horas
5 分钟	5 min
5 小时	5 horas
60 秒峰值	Pico
7 天	7 días
Apple 智能暂时不可用。	Apple Intelligence no está disponible temporalmente.
Apple 智能模型还在下载或准备中，请稍后再试。	El modelo de Apple Intelligence aún se está descargando o preparando. Inténtalo más tarde.
Apple 智能没有给出回答：{}	Apple Intelligence no respondió: {}
Apple 智能解释	Apple Intelligence
Apple（系统自带）	Apple (integrado)
Application Support 中只允许清理缓存目录	Solo se pueden limpiar las carpetas de caché de Application Support
CPU 占用 {}，已持续超过 1 分钟。可以打开 CPU 详情，在“按应用汇总”里看看是哪个应用在占用。	El uso de CPU lleva más de un minuto en {}. Abre los detalles de CPU y consulta Por app para identificar la aplicación.
CPU 总占用持续 1 分钟高于设定值，通常是某个应用卡住或在后台狂跑	El uso total de CPU supera el umbral durante 1 minuto; suele indicar una app bloqueada o muy activa en segundo plano
CPU 持续高负载	Carga sostenida de CPU
CPU 时间	Tiempo de CPU
CPU 时间 {}	Tiempo de CPU {}
CPU 最高	CPU máxima
CPU 核心最高温度	Núcleo de CPU más caliente
CPU 温度	Temperatura de CPU
CPU 温度 {}	Temperatura de CPU {}
CPU 温度 {}，已持续超过 1 分钟。可以检查高占用进程，或在“温度与风扇”里提高风扇转速。	La temperatura de CPU lleva más de un minuto en {}. Revisa los procesos activos o aumenta la velocidad en Temperatura y ventiladores.
CPU 温度偏高	CPU caliente
CPU 温度持续 1 分钟高于设定值	La CPU supera la temperatura establecida durante 1 minuto
CPU 温度达到 {}，已恢复系统自动控制	La CPU alcanzó {}; los ventiladores vuelven al control del sistema
CPU 温度过高	CPU demasiado caliente
CPU 负载偏高	Carga de CPU alta
CPU 负载很高	Carga de CPU muy alta
CPU 过热	Sobrecalentamiento de CPU
CPU：{}（以单核满载为 100%）	CPU: {} (100% = un núcleo a plena carga)
Cloudflare 接入节点（机场代码）	Ubicación de Cloudflare (código de aeropuerto)
Cloudflare（1.1.1.1）	Cloudflare (1.1.1.1)
CoreSimulator 的动态库与运行时缓存	Cachés de dyld y entornos de CoreSimulator
DNS 地址格式不正确	Dirección DNS no válida
DNS 已设置为 {}	DNS configurado en {}
DNS 缓存已刷新	Caché DNS vaciada
DerivedData，下次编译时自动重建	DerivedData; se regenera en la próxima compilación
GPU 占用	Uso de GPU
Globalping 返回了错误（HTTP {}）	Globalping devolvió un error (HTTP {})
Google（8.8.8.8）	Google (8.8.8.8)
IP 地址	Direcciones IP
IP 类型	Tipo de IP
IP 纯净度	Reputación de IP
IPv6 没有经过代理：只走 IPv6 的连接会直接暴露本机地址 {}。	IPv6 no pasa por el proxy: las conexiones solo IPv6 exponen tu dirección {}.
IPv6 连接也经过代理。	Las conexiones IPv6 también pasan por el proxy.
