# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
 {} 英寸	 {}인치
 · {} 项使用中	 · {}개 사용 중
 · 移到废纸篓	 · 휴지통으로 이동
# XStats 诊断信息	# XStats 진단 정보
1 个传感器	센서 1개
1 个应用，系统自带的不列出	앱 1개(기본 앱 제외)
1 个进程	프로세스 1개
1 分钟	1분
1 小时	1시간
1 项	1개 항목
10 根柱子是最近 10 次采样（约 20 秒）的变化	막대 10개는 최근 10회 측정(약 20초)의 변화를 표시합니다
15 分钟	15분
2 小时	2시간
24 小时	24시간
5 分钟	5분
5 小时	5시간
60 秒峰值	60초 최고치
7 天	7일
Apple 智能暂时不可用。	Apple Intelligence를 일시적으로 사용할 수 없습니다.
Apple 智能模型还在下载或准备中，请稍后再试。	Apple Intelligence 모델을 다운로드하거나 준비 중입니다. 잠시 후 다시 시도하세요.
Apple 智能没有给出回答：{}	Apple Intelligence가 응답하지 않았습니다: {}
Apple 智能解释	Apple Intelligence 설명
Apple（系统自带）	Apple(기본 제공)
Application Support 中只允许清理缓存目录	Application Support에서는 캐시 폴더만 정리할 수 있습니다
CPU 占用 {}，已持续超过 1 分钟。可以打开 CPU 详情，在“按应用汇总”里看看是哪个应用在占用。	CPU 사용률이 1분 넘게 {}입니다. CPU 상세 정보의 앱별 보기에서 사용률이 높은 앱을 확인하세요.
CPU 总占用持续 1 分钟高于设定值，通常是某个应用卡住或在后台狂跑	전체 CPU 사용률이 1분간 설정값을 초과했습니다. 앱이 멈췄거나 백그라운드에서 과도하게 실행 중일 수 있습니다
CPU 持续高负载	CPU 고부하 지속
CPU 时间	CPU 시간
CPU 时间 {}	CPU 시간 {}
CPU 最高	CPU 최대
CPU 核心最高温度	CPU 코어 최고 온도
CPU 温度	CPU 온도
CPU 温度 {}	CPU 온도 {}
CPU 温度 {}，已持续超过 1 分钟。可以检查高占用进程，或在“温度与风扇”里提高风扇转速。	CPU 온도가 1분 넘게 {}입니다. 사용률이 높은 프로세스를 확인하거나 온도 및 팬에서 팬 속도를 높이세요.
CPU 温度偏高	CPU 온도 높음
CPU 温度持续 1 分钟高于设定值	CPU 온도가 1분간 설정값 초과
CPU 温度达到 {}，已恢复系统自动控制	CPU 온도가 {}에 도달하여 시스템 자동 제어로 복귀했습니다
CPU 温度过高	CPU 온도가 너무 높습니다
CPU 负载偏高	CPU 부하 높음
CPU 负载很高	CPU 부하 매우 높음
CPU 过热	CPU 과열
CPU：{}（以单核满载为 100%）	CPU: {}(코어 하나의 최대 사용률을 100%로 표시)
Cloudflare 接入节点（机场代码）	Cloudflare 접속 지점(공항 코드)
Cloudflare（1.1.1.1）	Cloudflare(1.1.1.1)
CoreSimulator 的动态库与运行时缓存	CoreSimulator 동적 라이브러리 및 런타임 캐시
DNS 地址格式不正确	DNS 주소 형식이 올바르지 않습니다
DNS 已设置为 {}	DNS를 {}(으)로 설정했습니다
DNS 缓存已刷新	DNS 캐시를 비웠습니다
DerivedData，下次编译时自动重建	DerivedData(다음 빌드 시 다시 생성)
GPU 占用	GPU 사용률
Globalping 返回了错误（HTTP {}）	Globalping 오류(HTTP {})
Google（8.8.8.8）	Google(8.8.8.8)
IP 地址	IP 주소
IP 类型	IP 유형
IP 纯净度	IP 신뢰도
IPv6 没有经过代理：只走 IPv6 的连接会直接暴露本机地址 {}。	IPv6가 프록시를 통하지 않습니다. IPv6 전용 연결에서 이 Mac의 주소 {}이(가) 노출됩니다.
IPv6 连接也经过代理。	IPv6 연결도 프록시를 통합니다.
SMC [{}] 不支持的数据类型 {}	SMC [{}] 지원하지 않는 데이터 유형 {}
SMC [{}] 被固件拒绝 (0x{})	SMC [{}] 펌웨어가 거부함(0x{})
SMC [{}] 调用失败 ({})	SMC [{}] 호출 실패({})
SMC 通信与 Apple Silicon 风扇解锁流程移植自该项目 · MIT License	SMC 통신과 Apple Silicon 팬 잠금 해제 절차는 이 프로젝트에서 가져왔습니다 · MIT License
SSD 健康	SSD 상태
Time Machine 在备份之间会先在本机留下快照，它们占的空间计入“可清除”，系统缺空间时会自动删。手动删除不影响已完成的备份。	Time Machine은 백업 사이에 이 Mac에 스냅샷을 저장합니다. 사용 공간은 제거 가능 공간에 포함되며 공간이 부족하면 macOS가 자동 삭제합니다. 직접 삭제해도 완료된 백업에는 영향이 없습니다.
VPN / 代理	VPN / 프록시
VPN / 隧道	VPN / 터널
VPN 不允许绕开它连接	VPN이 우회 연결을 허용하지 않습니다
VPN 不允许绕开它连接，读不到本机网络原本的出口。下方按出口列出各网站。	VPN이 우회 연결을 허용하지 않아 네트워크의 원래 출구를 확인할 수 없습니다. 아래에 출구별 사이트를 표시합니다.
VPN 隧道	VPN 터널
WebDAV 地址发生重定向，请填写最终目录地址	WebDAV 주소가 리디렉션됩니다. 최종 폴더 URL을 입력하세요
WebDAV 存储空间不足	WebDAV 저장 공간이 부족합니다
WebDAV 拒绝访问，请检查目录读写权限	WebDAV 접근이 거부되었습니다. 폴더 읽기 및 쓰기 권한을 확인하세요
WebDAV 目录不存在，请先在服务器上创建该目录	WebDAV 폴더가 없습니다. 먼저 서버에 폴더를 만드세요
WebDAV 目录地址	WebDAV 폴더 URL
WebDAV 认证失败，请检查用户名和密码	WebDAV 인증에 실패했습니다. 사용자 이름과 암호를 확인하세요
WebDAV 返回错误：{}	WebDAV 오류: {}
XStats {} 已发布	XStats {} 출시
XStats 基于 OpenStats 开发，感谢原项目的开源贡献 · MIT License	XStats는 OpenStats를 기반으로 개발되었습니다. 원본 프로젝트의 오픈 소스 기여에 감사드립니다 · MIT License
XStats 控制	XStats 제어
XStats 控制中	XStats가 제어 중
XStats 的通知被关闭了，打开的提醒不会显示。	XStats 알림이 꺼져 있어 경고가 표시되지 않습니다.
XStats 辅助工具	XStats 도우미
XStats 通知测试	XStats 테스트 알림
XStats 防休眠	XStats 잠자기 방지
XStats 需要授权以安装新版本。	새 버전을 설치하려면 XStats에 권한을 부여해야 합니다.
XStats 需要管理员权限来修改“{}”的 DNS。	“{}”의 DNS를 변경하려면 XStats에 관리자 권한이 필요합니다.
XStats 需要管理员权限来删除 Time Machine 本地快照。	Time Machine 로컬 스냅샷을 삭제하려면 XStats에 관리자 권한이 필요합니다.
XStats 需要管理员权限来刷新 DNS 缓存。	DNS 캐시를 비우려면 XStats에 관리자 권한이 필요합니다.
XStats 需要管理员权限来释放内存。	메모리를 확보하려면 XStats에 관리자 권한이 필요합니다.
XStats-诊断-{}	XStats-진단-{}
XStats-诊断-{}.zip	XStats-진단-{}.zip
Xcode 归档	Xcode 아카이브
Xcode 编译缓存	Xcode 빌드 캐시
cleanip.io 对这次评分的把握：各数据源结论越一致越高	cleanip.io의 점수 확신도: 정보 출처의 결과가 일치할수록 높습니다
macOS 系统目录（系统组件）	macOS 시스템 폴더(시스템 구성 요소)
npm 缓存	npm 캐시
Go 缓存	Go 캐시
Rust 缓存	Rust 캐시
uv 缓存	uv 캐시
Yarn 缓存	Yarn 캐시
pnpm 缓存	pnpm 캐시
Bun 缓存	Bun 캐시
npm 下载缓存，由 npm 自行清理	npm 다운로드 캐시이며 npm이 직접 정리합니다
Yarn 全局与离线镜像缓存，由 Yarn 自行清理	Yarn 전역 및 오프라인 미러 캐시이며 Yarn이 직접 정리합니다
pnpm 内容寻址存储，仅清理未被引用的包	pnpm 콘텐츠 주소 지정 저장소이며 참조되지 않은 패키지만 정리합니다
Bun 下载的包缓存，由 Bun 自行清理	Bun 패키지 다운로드 캐시이며 Bun이 직접 정리합니다
Go 编译与完整模块缓存，由 go clean 清理	Go 빌드 및 전체 모듈 캐시이며 go clean으로 정리합니다
Cargo 注册表与 Git 依赖缓存，需要 cargo-cache	Cargo 레지스트리 및 Git 종속성 캐시이며 cargo-cache가 필요합니다
uv 下载的 Python 包与构建缓存，由 uv 自行清理	uv의 Python 패키지 및 빌드 캐시이며 uv가 직접 정리합니다
未找到 {}，无法安全清理	{}을(를) 찾지 못해 안전하게 정리할 수 없습니다
{} 清理失败（退出码 {}）	{} 정리에 실패했습니다(종료 코드 {})
{} 清理失败（退出码 {}）：{}	{} 정리에 실패했습니다(종료 코드 {}): {}
{}：未找到 {}，无法安全清理	{}: {}을(를) 찾지 못해 안전하게 정리할 수 없습니다
支持的内容先移到废纸篓；工具缓存由对应命令直接清理。	지원되는 항목은 먼저 휴지통으로 이동하고 도구 캐시는 해당 명령으로 직접 정리합니다.
支持的缓存可以恢复；工具缓存始终由对应命令直接清理	지원되는 캐시는 복원할 수 있으며 도구 캐시는 항상 해당 명령으로 직접 정리합니다
{} {} 英寸	{} {}인치
{} · {} 个	{} · {}개
{} · {} 核	{} · {}코어
{} · 约 {}	{} · 약 {}
{} · 负载 {}/{}	{} · 부하 {}/{}
{} 个	{}개
{} 个传感器	센서 {}개
{} 个应用，系统自带的不列出	앱 {}개(기본 앱 제외)
{} 个网站	사이트 {}개
{} 个进程	프로세스 {}개
