# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
暂无数据	データがありません
主应用缓存	XStatsのキャッシュ
今日消耗的 Token	今日使用した Token
查看今天 Codex 和 Claude 的 Token 用量	今日の Codex と Claude の Token 使用量を表示
分	点
查看 Codex 和 Claude 的剩余额度与重置时间	CodexとClaudeの残り枠とリセット時刻を表示
显示主应用已查询的公网 IP 纯净度	XStatsが取得した公開IPの信頼度を表示
显示主应用已查询的公网 IPv4 和 IPv6	XStatsが取得した公開IPv4とIPv6を表示
查看公网 IP、归属地、ASN 和标记	公開IP、所在地、ASN、タグを表示
查看今天的日期或本月月历。	今日の日付または今月のカレンダーを表示します。
设备不支持	このデバイスは非対応
需要 macOS 15.1 或更新版本	macOS 15.1以降が必要
支持	対応
无法检测	確認できません
仅显示本机模型当前是否可用；设备兼容不代表当前可用。	オンデバイスモデルが現在利用できるかを表示します。デバイスの対応は現在の利用可否を保証しません。
 {} 英寸	 {}インチ
 · {} 项使用中	 · {}項目使用中
 · 移到废纸篓	 · ゴミ箱に移動
# XStats 诊断信息	# XStats 診断情報
1 个传感器	センサー1個
1 个应用，系统自带的不列出	アプリ1個（標準アプリを除く）
1 个进程	プロセス1個
1 分钟	1分
1 小时	1時間
1 项	1項目
10 根柱子是最近 10 次采样（约 20 秒）的变化	10本のバーは直近10回の測定（約20秒）の変化を示します
15 分钟	15分
2 小时	2時間
24 小时	24時間
5 分钟	5分
5 小时	5時間
60 秒峰值	60秒間のピーク
7 天	7日
Apple 智能暂时不可用。	Apple Intelligenceは一時的に利用できません。
Apple 智能模型还在下载或准备中，请稍后再试。	Apple Intelligenceモデルをダウンロードまたは準備中です。しばらくしてからお試しください。
Apple 智能没有给出回答：{}	Apple Intelligenceから応答がありません：{}
Apple 智能解释	Apple Intelligenceで解説
Apple（系统自带）	Apple（標準搭載）
Application Support 中只允许清理缓存目录	Application Support内はキャッシュフォルダのみ削除できます
CPU 占用 {}，已持续超过 1 分钟。可以打开 CPU 详情，在“按应用汇总”里看看是哪个应用在占用。	CPU使用率が1分以上{}です。CPUの詳細を開き、「アプリ別」で使用率の高いアプリを確認してください。
CPU 总占用持续 1 分钟高于设定值，通常是某个应用卡住或在后台狂跑	CPU全体の使用率が設定値を1分間超えた状態です。アプリの停止やバックグラウンド処理が原因の可能性があります
CPU 持续高负载	CPUの高負荷が継続
CPU 时间	CPU時間
CPU 时间 {}	CPU時間 {}
CPU 最高	CPU最大
CPU 核心最高温度	CPUコアの最高温度
CPU 温度	CPU温度
CPU 温度 {}	CPU温度 {}
