# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
 {} 英寸	 {} Zoll
 · {} 项使用中	 · {} verwendet
 · 移到废纸篓	 · Wird in den Papierkorb verschoben
# XStats 诊断信息	# XStats-Diagnose
1 个传感器	1 Sensor
1 个应用，系统自带的不列出	1 App; integrierte Apps werden nicht aufgeführt
1 个进程	1 Prozess
1 分钟	1 Min.
1 小时	1 Stunde
1 项	1 Objekt
10 根柱子是最近 10 次采样（约 20 秒）的变化	10 Balken zeigen die letzten 10 Messungen (etwa 20 Sekunden)
15 分钟	15 Min.
2 小时	2 Stunden
24 小时	24 Stunden
5 分钟	5 Min.
5 小时	5 Stunden
60 秒峰值	Spitzenwert
7 天	7 Tage
Apple 智能暂时不可用。	Apple Intelligence ist vorübergehend nicht verfügbar.
Apple 智能模型还在下载或准备中，请稍后再试。	Das Modell von Apple Intelligence wird noch geladen oder vorbereitet. Später erneut versuchen.
Apple 智能没有给出回答：{}	Apple Intelligence hat nicht geantwortet: {}
Apple 智能解释	Apple Intelligence
Apple（系统自带）	Apple (integriert)
Application Support 中只允许清理缓存目录	In Application Support dürfen nur Cache-Ordner bereinigt werden
CPU 占用 {}，已持续超过 1 分钟。可以打开 CPU 详情，在“按应用汇总”里看看是哪个应用在占用。	Die CPU-Auslastung liegt seit über einer Minute bei {}. In den CPU-Details unter „Nach App“ sehen Sie, welche App die CPU beansprucht.
CPU 总占用持续 1 分钟高于设定值，通常是某个应用卡住或在后台狂跑	Die gesamte CPU-Auslastung überschreitet den Grenzwert für 1 Minute, meist durch eine blockierte oder sehr aktive Hintergrund-App
CPU 持续高负载	Anhaltend hohe CPU-Auslastung
CPU 时间	CPU-Zeit
CPU 时间 {}	CPU-Zeit {}
CPU 最高	CPU-Maximum
CPU 核心最高温度	Wärmster CPU-Kern
CPU 温度	CPU-Temperatur
CPU 温度 {}	CPU-Temperatur {}
CPU 温度 {}，已持续超过 1 分钟。可以检查高占用进程，或在“温度与风扇”里提高风扇转速。	Die CPU-Temperatur liegt seit über einer Minute bei {}. Prüfen Sie stark ausgelastete Prozesse oder erhöhen Sie unter „Temperatur und Lüfter“ die Lüfterdrehzahl.
CPU 温度偏高	CPU ist warm
CPU 温度持续 1 分钟高于设定值	Die CPU überschreitet die eingestellte Temperatur für 1 Minute
CPU 温度达到 {}，已恢复系统自动控制	CPU hat {} erreicht; Lüfter wieder vom System gesteuert
CPU 温度过高	CPU ist zu heiß
CPU 负载偏高	Hohe CPU-Auslastung
CPU 负载很高	Sehr hohe CPU-Auslastung
CPU 过热	CPU überhitzt
CPU：{}（以单核满载为 100%）	CPU: {} (100 % = ein voll ausgelasteter Kern)
Cloudflare 接入节点（机场代码）	Cloudflare-Standort (Flughafencode)
Cloudflare（1.1.1.1）	Cloudflare (1.1.1.1)
CoreSimulator 的动态库与运行时缓存	CoreSimulator-Caches für dyld und Laufzeitumgebungen
DNS 地址格式不正确	Ungültige DNS-Adresse
DNS 已设置为 {}	DNS auf {} eingestellt
DNS 缓存已刷新	DNS-Cache geleert
DerivedData，下次编译时自动重建	DerivedData; wird beim nächsten Build neu erstellt
GPU 占用	GPU-Auslastung
Globalping 返回了错误（HTTP {}）	Globalping meldet einen Fehler (HTTP {})
Google（8.8.8.8）	Google (8.8.8.8)
IP 地址	IP-Adressen
IP 类型	IP-Typ
IP 纯净度	IP-Reputation
IPv6 没有经过代理：只走 IPv6 的连接会直接暴露本机地址 {}。	IPv6 wird nicht über den Proxy geleitet: Reine IPv6-Verbindungen legen Ihre Adresse {} offen.
IPv6 连接也经过代理。	Auch IPv6-Verbindungen werden über den Proxy geleitet.
